RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2015,ES,101,709.58960,1,5,1,1982,1,2,1,1,1,1,1, ,-2, ,-2,102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,102,709.58960,1,3,1,1979,1,1,1,1,1,1,1, ,-2, ,-2,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,201,1365.57603,1,4,1,1976,1,1,1,1,1,1,1, ,-2, ,-2,202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,202,1365.57603,1,8,1,1982,1,2,1,1,1,1,1, ,-2, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,203,1365.57603,1,8,1,1997,1,2,1,1,1,4,1, ,-2,202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,204,1365.57603,1,2,1,2001,1,1,1,1,1,4,1, ,-2,202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,301,1489.92338,1,4,1,1929,1,1,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2015,ES,401,2460.63934,1,1,1,1976,1,1,1,1,1,1,1, ,-2, ,-2,402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,402,2460.63934,1,5,1,1980,1,2,1,1,1,1,1, ,-2, ,-2,401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,701,4325.49600,1,11,1,1962,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,801,809.88404,1,8,1,1956,1,1,1,1,1,1,1, ,-2, ,-2,802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,802,809.88404,1,10,1,1961,1,2,1,1,1,1,1, ,-2, ,-2,801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,803,809.88404,1,6,1,1994,1,2,1,1,1,4,1,801,1,802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2015,ES,1001,819.83223,1,6,1,1955,1,1,1,1,1,1,1, ,-2, ,-2,1002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2015,ES,1002,819.83223,1,1,1,1958,1,2,1,1,1,1,1, ,-2, ,-2,1001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2015,ES,1003,819.83223,1,9,1,1996,1,2,1,2,1,4,1,1001,1,1002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
