RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2006,ES,101,1166.27629,1,1,1,1941,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2006,ES,201,1509.05392,1,4,1,1964,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,202,1509.05392,1,7,1,1992,1,1,1,1,1,4,1, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,301,466.38496,1,5,1,1944,1,1,1,1,1,3,1, ,-2, ,-2,302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2006,ES,302,466.38496,1,8,1,1945,1,2,1,1,1,4,1, ,-2, ,-2,301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2006,ES,401,1499.60139,1,10,1,1925,1,1,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2006,ES,501,2424.36577,1,9,1,1924,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2006,ES,601,839.45414,1,8,1,1942,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2006,ES,701,1344.16267,1,12,1,1952,1,1,1,1,1,1,1, ,-2, ,-2,702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,702,1344.16267,1,4,1,1956,1,2,1,1,1,4,1, ,-2, ,-2,701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,703,1344.16267,1,10,1,1978,1,2,1,1,1,1,1,701,1,702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,704,1344.16267,1,6,1,1994,1,2,1,1,1,4,1,701,1,702,1, ,-2, ,-2,35,1,0,1,0,1,0,1,0,1,1436.68782,1,0,0
2006,ES,801,738.18963,1,2,1,1948,1,1,1,1,1,1,1, ,-2, ,-2,802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,802,738.18963,1,10,1,1954,1,2,1,1,1,1,1, ,-2, ,-2,801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,803,738.18963,1,8,1,1976,1,1,1,1,1,1,1,801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,804,738.18963,1,7,1,1989,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,805,738.18963,1,7,1,1983,1,1,1,1,1,4,1,801,1,802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,1201,1065.34792,1,12,1,1932,1,2,1,1,1,3,1, ,-2, ,-2,1202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2006,ES,1202,1065.34792,1,11,1,1927,1,1,1,1,1,3,1, ,-2, ,-2,1201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2006,ES,1401,683.91475,1,9,1,1968,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2006,ES,1402,683.91475,1,10,1,1991,1,2,1,1,1,4,1, ,-2,1401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2006,ES,1403,683.91475,1,4,1,1998,1,1,1,1,1,4,1, ,-2,1401,1, ,-2, ,-2,40,1,0,1,0,1,0,1,0,1,695.32007,1,1,1
2006,ES,1801,1892.55547,1,6,1,1963,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,1802,1892.55547,1,4,1,1989,1,1,1,1,1,4,1, ,-2,1801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2001,968.80416,1,9,1,1962,1,2,1,1,1,1,1, ,-2, ,-2,2002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2002,968.80416,1,4,1,1963,1,1,1,1,1,1,1, ,-2, ,-2,2001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2003,968.80416,1,11,1,1992,1,1,1,1,1,4,1,2002,1,2001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2004,968.80416,1,1,1,1995,1,2,1,1,1,4,1,2002,1,2001,1, ,-2, ,-2,40,1,7,1,0,1,27,1,0,1,979.52818,1,0,0
2006,ES,2101,1883.63418,1,8,1,1975,1,1,1,1,1,1,1, ,-2, ,-2,2102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2102,1883.63418,1,3,1,1972,1,2,1,1,1,1,1, ,-2, ,-2,2101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2201,1079.43627,1,3,1,1935,1,1,1,1,1,3,1, ,-2, ,-2,2202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2006,ES,2202,1079.43627,1,11,1,1940,1,2,1,1,1,4,1, ,-2, ,-2,2201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2006,ES,2301,2130.13047,1,5,1,1964,1,1,1,1,1,1,1, ,-2, ,-2,2302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2302,2130.13047,1,10,1,1983,1,1,1,1,1,1,1, ,-2, ,-2,2301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2401,1479.47925,1,2,1,1953,1,1,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2006,ES,2601,2541.47116,1,12,1,1947,1,2,1,1,1,4,1, ,-2, ,-2,2602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2602,2541.47116,1,12,1,1948,1,1,1,1,1,3,1, ,-2, ,-2,2601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2701,1148.87956,1,2,1,1974,1,1,1,1,1,1,1, ,-2, ,-2,2702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2006,ES,2702,1148.87956,1,3,1,1974,1,2,1,1,1,4,1, ,-2,2703,1,2701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2006,ES,2703,1148.87956,1,6,1,1947,1,2,1,1,1,2,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2006,ES,2704,1148.87956,1,1,1,2002,1,2,1,1,1,4,1,2701,1,2702,1, ,-2,25,1, ,-2,0,1,2,1,0,1,0,1,1205.52081,1,1,1
2006,ES,2705,1148.87956,1,1,1,2005,1,1,1,1,1,4,1,2701,1,2702,1, ,-2,0,1, ,-2, ,-2,0,1,0,1,0,1,931.72452,1,1,1
2006,ES,2801,973.88050,1,6,1,1966,1,2,1,1,1,1,1, ,-2, ,-2,2802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2802,973.88050,1,10,1,1966,1,1,1,1,1,1,1, ,-2, ,-2,2801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2006,ES,2803,973.88050,1,9,1,1995,1,2,1,1,1,4,1,2802,1,2801,1, ,-2, ,-2,32,1,0,1,0,1,0,1,0,1,984.66071,1,0,0
2006,ES,2804,973.88050,1,11,1,1997,1,2,1,1,1,4,1,2802,1,2801,1, ,-2, ,-2,32,1,0,1,0,1,0,1,0,1,1006.36468,1,0,0
