DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2011,ES,1,ES41,2,432,1,966.87918,1,3,1
2011,ES,2,ES52,2,1746,1,1577.98221,1,1,1
2011,ES,10,ES30,2,915,1,1198.02850,1,1,1
2011,ES,11,ES62,2,1171,1,1459.95911,1,2,1
2011,ES,14,ES70,2,1493,1,609.11560,1,1,1
2011,ES,17,ES51,2,406,1,1301.92487,1,1,1
2011,ES,23,ES70,2,1367,1,1709.16648,1,2,1
2011,ES,28,ES11,2,1422,1,1838.81087,1,3,1
2011,ES,30,ES64,2,1996,1,125.97974,1,1,1
2011,ES,31,ES13,2,1527,1,371.89057,1,1,1
2011,ES,39,ES41,2,780,1,1061.37342,1,2,1
2011,ES,40,ES23,2,864,1,317.80504,1,3,1
2011,ES,46,ES52,2,1726,1,983.68234,1,3,1
2011,ES,51,ES41,2,770,1,718.62016,1,3,1
2011,ES,53,ES52,2,66,1,1973.54146,1,1,1
2011,ES,54,ES13,2,1557,1,506.92065,1,1,1
2011,ES,59,ES41,2,783,1,370.66570,1,2,1
2011,ES,62,ES61,2,1637,1,923.00746,1,1,1
2011,ES,64,ES24,2,1667,1,723.82703,1,3,1
2011,ES,68,ES41,2,1584,1,378.81587,1,3,1
2011,ES,69,ES61,2,1617,1,2386.35604,1,2,1
2011,ES,72,ES62,2,1193,1,834.19836,1,2,1
2011,ES,75,ES42,2,1676,1,1148.54076,1,3,1
2011,ES,80,ES51,2,316,1,2621.52469,1,1,1
2011,ES,87,ES12,2,1285,1,3447.57506,1,2,1
2011,ES,94,ES62,2,1174,1,866.18908,1,2,1
2011,ES,96,ES13,2,1527,1,351.08999,1,1,1
2011,ES,102,ES51,2,380,1,2348.61070,1,1,1
2011,ES,111,ES42,2,519,1,1130.14824,1,3,1
2011,ES,113,ES30,2,953,1,1177.72387,1,1,1
2011,ES,114,ES11,2,1441,1,1108.93991,1,1,1
2011,ES,117,ES24,2,1950,1,715.05435,1,1,1
2011,ES,125,ES51,2,416,1,4040.57680,1,1,1
2011,ES,131,ES51,2,315,1,1438.26024,1,1,1
2011,ES,132,ES24,2,738,1,452.44056,1,3,1
2011,ES,133,ES52,2,1714,1,1798.30048,1,2,1
2011,ES,136,ES42,2,526,1,828.51618,1,3,1
2011,ES,138,ES70,2,1508,1,848.64030,1,1,1
2011,ES,148,ES61,2,103,1,4187.29943,1,2,1
2011,ES,150,ES42,2,674,1,377.78332,1,3,1
2011,ES,152,ES51,2,256,1,963.28696,1,1,1
2011,ES,155,ES30,2,910,1,818.81347,1,1,1
2011,ES,156,ES22,2,1215,1,560.05302,1,3,1
2011,ES,162,ES41,2,423,1,834.92871,1,1,1
