RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2009,ES,101,1209.10763,1,11,1,1975,1,2,1,1,1,1,1, ,-2, ,-2,102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2009,ES,102,1209.10763,1,8,1,1974,1,1,1,1,1,1,1, ,-2, ,-2,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2009,ES,103,1209.10763,1,9,1,2004,1,2,1,1,1,4,1,102,1,101,1, ,-2,25,1, ,-2,0,1,0,1,0,1,0,1,1108.00519,1,0,0
2009,ES,104,1209.10763,1,8,1,2008,1,1,1,1,1,4,1,102,1,101,1, ,-2,0,1, ,-2, ,-2,0,1,0,1,0,1,1423.96749,1,0,0
2009,ES,201,706.92381,1,3,1,1932,1,1,1,1,1,3,1, ,-2, ,-2,202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2009,ES,202,706.92381,1,6,1,1943,1,2,1,1,1,4,1, ,-2, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2009,ES,203,706.92381,1,5,1,1970,1,2,1,1,1,4,1,201,1,202,1,204,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2009,ES,204,706.92381,1,10,1,1966,1,1,1,1,1,1,1, ,-2, ,-2,203,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2009,ES,205,706.92381,1,1,1,1998,1,2,1,1,1,4,1,204,1,203,1, ,-2, ,-2,29,1,0,1,0,1,0,1,0,1,625.37620,1,0,1
2009,ES,1001,1203.36684,1,4,1,1963,1,1,1,1,1,1,1, ,-2, ,-2,1002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2009,ES,1002,1203.36684,1,12,1,1963,1,2,1,1,1,1,1, ,-2, ,-2,1001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2009,ES,1003,1203.36684,1,4,1,1993,1,2,1,1,1,4,1,1001,1,1002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2009,ES,1004,1203.36684,1,12,1,1997,1,2,1,1,1,4,1,1001,1,1002,1, ,-2, ,-2,30,1,0,1,0,1,0,1,0,1,1064.55175,1,0,0
2009,ES,1101,1351.17884,1,11,1,1973,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2009,ES,1401,2104.11067,1,5,1,1975,1,1,1,1,1,1,1, ,-2, ,-2,1402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
