RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2011,ES,101,966.87918,1,12,1,1968,1,1,1,1,1,1,1, ,-2, ,-2,102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,102,966.87918,1,3,1,1971,1,2,1,1,1,1,1, ,-2, ,-2,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,103,966.87918,1,3,1,2001,1,2,1,1,1,4,1,101,1,102,1, ,-2, ,-2,25,1,0,1,0,1,0,1,0,1,1003.27490,1,0,0
2011,ES,201,1577.98221,1,10,1,1979,1,1,1,1,1,1,1, ,-2, ,-2,202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,202,1577.98221,1,5,1,1980,1,2,1,1,1,1,1, ,-2, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,203,1577.98221,1,9,1,2006,1,2,1,1,1,4,1,201,1,202,1, ,-2,36,1, ,-2,0,1,0,1,0,1,0,1,1605.65590,1,0,0
2011,ES,1001,1198.02850,1,9,1,1951,1,1,1,1,1,1,1, ,-2, ,-2,1002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,1002,1198.02850,1,12,1,1947,1,2,1,1,1,1,1, ,-2, ,-2,1001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2011,ES,1101,1459.95911,1,5,1,1950,1,2,1,1,1,1,1, ,-2, ,-2,1102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2011,ES,1102,1459.95911,1,5,1,1947,1,1,1,1,1,3,1, ,-2, ,-2,1101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2011,ES,1401,609.11560,1,6,1,1972,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2011,ES,1402,609.11560,1,12,1,2002,1,1,1,1,1,4,1, ,-2,1401,1, ,-2, ,-2,30,1,0,1,0,1,0,1,0,1,585.76109,1,0,1
2011,ES,1701,1301.92487,1,3,1,1929,1,1,1,1,1,3,1, ,-2, ,-2,1702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2011,ES,1702,1301.92487,1,10,1,1933,1,2,1,1,1,3,1,1701,1, ,-2,1701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2011,ES,2301,1709.16648,1,5,1,1947,1,1,1,1,1,1,1, ,-2, ,-2,2302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2011,ES,2302,1709.16648,1,9,1,1951,1,2,1,1,1,1,1, ,-2, ,-2,2301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,2303,1709.16648,1,1,1,1981,1,1,1,1,1,1,1,2301,1,2302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,2801,1838.81087,1,4,1,1937,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2011,ES,3001,125.97974,1,1,1,1966,1,2,1,1,1,1,1, ,-2, ,-2,3002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,3002,125.97974,1,4,1,1966,1,1,1,1,1,1,1, ,-2, ,-2,3001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,3003,125.97974,1,1,1,1996,1,2,1,1,1,4,1,3002,1,3001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,3004,125.97974,1,1,1,1996,1,1,1,1,1,4,1,3002,1,3001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,3101,371.89057,1,1,1,1974,1,2,1,1,1,1,1, ,-2, ,-2,3102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,3102,371.89057,1,2,1,1971,1,1,1,1,1,1,1, ,-2, ,-2,3101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,3103,371.89057,1,9,1,2008,1,2,1,1,1,4,1,3102,1,3101,1, ,-2,30,1, ,-2,0,1,0,1,0,1,15,1,406.17682,1,0,0
2011,ES,3901,1061.37342,1,10,1,1973,1,2,1,1,1,2,1, ,-2, ,-2,3902,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2011,ES,3902,1061.37342,1,3,1,1974,1,1,1,1,1,1,1, ,-2, ,-2,3901,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
