RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2008,ES,101,993.39086,1,10,1,1925,1,1,1,1,1,3,1, ,-2, ,-2,102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2008,ES,102,993.39086,1,2,1,1929,1,2,1,1,1,3,1, ,-2, ,-2,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2008,ES,201,1589.23227,1,11,1,1957,1,1,1,1,1,1,1, ,-2, ,-2,202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,202,1589.23227,1,10,1,1966,1,2,1,1,1,4,1, ,-2, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,203,1589.23227,1,5,1,1999,1,1,1,1,1,4,1,201,1,202,1, ,-2, ,-2,25,1,1,1,0,1,0,1,0,1,1593.85374,1,0,0
2008,ES,301,3084.66251,1,3,1,1931,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2008,ES,401,624.78339,1,1,1,1950,1,1,1,1,1,1,1, ,-2, ,-2,402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,402,624.78339,1,9,1,1952,1,2,1,1,1,1,1, ,-2,403,1,401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2008,ES,403,624.78339,1,5,1,1922,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2008,ES,601,2677.57129,1,4,1,1923,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
