RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2007,ES,101,1768.96061,1,1,1,1941,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2007,ES,201,2164.27817,1,4,1,1964,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2007,ES,202,2164.27817,1,7,1,1992,1,1,1,1,1,4,1, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2007,ES,301,712.51898,1,5,1,1944,1,1,1,1,1,3,1, ,-2, ,-2,302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2007,ES,302,712.51898,1,8,1,1945,1,2,1,1,1,4,1, ,-2, ,-2,301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2007,ES,501,2099.08698,1,9,1,1924,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2007,ES,601,1759.78290,1,8,1,1942,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2007,ES,701,1237.91675,1,12,1,1952,1,1,1,1,1,1,1, ,-2, ,-2,702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2007,ES,702,1237.91675,1,4,1,1956,1,2,1,1,1,1,1, ,-2, ,-2,701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2007,ES,703,1237.91675,1,10,1,1978,1,2,1,1,1,1,1,701,1,702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2007,ES,704,1237.91675,1,6,1,1994,1,2,1,1,1,4,1,701,1,702,1, ,-2, ,-2,30,1,0,1,0,1,0,1,0,1,1334.27131,1,0,0
2007,ES,801,853.81861,1,2,1,1948,1,1,1,1,1,1,1, ,-2, ,-2,802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
