DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2010,ES,1,ES61,2,469,1,1160.33666,1,1,1
2010,ES,2,ES52,2,1751,1,1760.97281,1,2,1
2010,ES,10,ES30,2,947,1,1232.29148,1,1,1
2010,ES,11,ES62,2,1179,1,3070.17836,1,2,1
2010,ES,14,ES11,2,1415,1,2262.12972,1,2,1
2010,ES,23,ES11,2,1451,1,919.41349,1,1,1
2010,ES,28,ES70,2,1497,1,1620.77743,1,2,1
2010,ES,30,ES64,2,1995,1,45.19479,1,1,1
2010,ES,31,ES41,2,1583,1,662.89273,1,3,1
2010,ES,39,ES41,2,781,1,213.98192,1,2,1
2010,ES,40,ES23,2,861,1,188.88371,1,2,1
2010,ES,46,ES52,2,1728,1,1801.23086,1,3,1
2010,ES,48,ES11,2,602,1,542.44911,1,2,1
2010,ES,51,ES23,2,817,1,185.61903,1,2,1
2010,ES,53,ES52,2,59,1,1924.26648,1,3,1
2010,ES,59,ES41,2,781,1,580.63466,1,2,1
2010,ES,62,ES61,2,1641,1,1382.76470,1,1,1
2010,ES,68,ES13,2,1537,1,104.73716,1,2,1
2010,ES,69,ES41,2,1647,1,1462.21002,1,3,1
2010,ES,72,ES62,2,1132,1,428.79097,1,2,1
2010,ES,75,ES42,2,1696,1,1079.74357,1,2,1
2010,ES,80,ES51,2,279,1,918.78507,1,1,1
2010,ES,87,ES12,2,1277,1,584.73815,1,1,1
2010,ES,92,ES43,2,231,1,1575.24396,1,3,1
2010,ES,94,ES61,2,1110,1,8934.09726,1,3,1
2010,ES,96,ES41,2,1583,1,731.69980,1,3,1
2010,ES,100,ES61,2,1632,1,1213.39799,1,1,1
2010,ES,102,ES51,2,409,1,1647.75281,1,2,1
2010,ES,111,ES61,2,546,1,993.99885,1,2,1
2010,ES,113,ES30,2,966,1,2376.59010,1,1,1
2010,ES,117,ES24,2,1959,1,807.57043,1,1,1
2010,ES,118,ES43,2,144,1,590.85305,1,3,1
2010,ES,125,ES43,2,440,1,427.95717,1,3,1
2010,ES,131,ES51,2,320,1,2685.58089,1,1,1
2010,ES,132,ES41,2,771,1,1858.83509,1,3,1
2010,ES,133,ES52,2,1706,1,384.41588,1,1,1
2010,ES,136,ES42,2,520,1,874.49590,1,2,1
2010,ES,138,ES11,2,1443,1,1097.47300,1,1,1
2010,ES,144,ES30,2,1056,1,1920.81001,1,1,1
2010,ES,148,ES41,2,116,1,741.66492,1,3,1
2010,ES,150,ES21,2,685,1,1173.83597,1,2,1
2010,ES,154,ES13,2,1534,1,331.70028,1,3,1
2010,ES,156,ES22,2,1239,1,161.11862,1,1,1
2010,ES,162,ES51,2,379,1,946.76460,1,1,1
2010,ES,164,ES43,2,139,1,1019.82887,1,3,1
2010,ES,166,ES51,2,284,1,1041.18320,1,1,1
2010,ES,169,ES11,2,583,1,675.58774,1,1,1
2010,ES,171,ES21,2,15,1,766.60137,1,1,1
2010,ES,176,ES13,2,1557,1,1105.35347,1,1,1
2010,ES,177,ES41,2,1791,1,1212.64723,1,1,1
2010,ES,180,ES13,2,1527,1,786.32261,1,1,1
2010,ES,181,ES51,2,384,1,4286.36630,1,1,1
2010,ES,183,ES51,2,293,1,2390.92150,1,1,1
2010,ES,186,ES21,2,1877,1,2916.39826,1,1,1
2010,ES,189,ES30,2,1053,1,1063.06738,1,1,1
2010,ES,192,ES61,2,1645,1,1159.33797,1,2,1
2010,ES,193,ES62,2,1175,1,287.45156,1,2,1
2010,ES,194,ES41,2,783,1,511.60263,1,2,1
2010,ES,195,ES61,2,1115,1,7582.66949,1,2,1
2010,ES,209,ES41,2,1584,1,653.15234,1,3,1
2010,ES,214,ES11,2,606,1,858.32707,1,2,1
2010,ES,216,ES61,2,560,1,1914.11762,1,3,1
2010,ES,220,ES61,2,1078,1,10412.16683,1,3,1
2010,ES,223,ES22,2,1217,1,1833.22876,1,1,1
2010,ES,236,ES21,2,686,1,2336.78445,1,2,1
2010,ES,237,ES23,2,813,1,155.52099,1,2,1
2010,ES,239,ES41,2,1647,1,722.68288,1,3,1
2010,ES,240,ES61,2,465,1,1528.27393,1,1,1
2010,ES,241,ES23,2,844,1,74.37805,1,1,1
2010,ES,247,ES53,2,174,1,365.44981,1,3,1
2010,ES,248,ES52,2,1753,1,1166.33679,1,1,1
2010,ES,264,ES51,2,315,1,1679.06155,1,1,1
2010,ES,270,ES52,2,505,1,1810.31364,1,1,1
2010,ES,275,ES61,2,1092,1,669.87374,1,1,1
2010,ES,276,ES53,2,205,1,1184.78428,1,1,1
2010,ES,279,ES62,2,1180,1,349.60998,1,2,1
2010,ES,281,ES41,2,1363,1,541.88274,1,3,1
