DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2009,ES,1,ES11,2,608,1,1209.10763,1,2,1
2009,ES,2,ES41,2,1891,1,706.92381,1,3,1
2009,ES,10,ES62,2,1144,1,1203.36684,1,3,1
2009,ES,11,ES70,2,1405,1,1351.17884,1,2,1
2009,ES,14,ES12,2,1474,1,2104.11067,1,2,1
2009,ES,17,ES61,2,486,1,2435.78289,1,2,1
2009,ES,23,ES13,2,1537,1,1234.03198,1,2,1
2009,ES,28,ES13,2,1581,1,224.22205,1,3,1
2009,ES,30,ES43,2,143,1,721.25294,1,3,1
2009,ES,31,ES42,2,1680,1,2815.62888,1,3,1
2009,ES,32,ES23,2,842,1,306.99278,1,1,1
2009,ES,39,ES30,2,923,1,1101.99077,1,1,1
2009,ES,40,ES30,2,960,1,1126.99497,1,1,1
2009,ES,46,ES21,2,1861,1,1304.56237,1,2,1
2009,ES,48,ES41,2,777,1,1273.38798,1,1,1
2009,ES,51,ES30,2,982,1,1002.31093,1,1,1
2009,ES,53,ES52,2,49,1,2055.45525,1,1,1
2009,ES,54,ES52,2,1743,1,1742.67284,1,2,1
2009,ES,59,ES30,2,923,1,341.66892,1,1,1
2009,ES,64,ES21,2,1872,1,1048.56056,1,3,1
2009,ES,68,ES61,2,1631,1,1252.57780,1,1,1
2009,ES,69,ES41,2,1789,1,1129.01204,1,2,1
2009,ES,72,ES22,2,1197,1,587.70074,1,2,1
2009,ES,75,ES21,2,1824,1,974.93616,1,1,1
2009,ES,80,ES51,2,258,1,1889.42177,1,1,1
2009,ES,92,ES51,2,351,1,2204.26073,1,1,1
2009,ES,94,ES62,2,1171,1,259.50985,1,2,1
2009,ES,100,ES41,2,1816,1,1236.04775,1,1,1
2009,ES,102,ES61,2,553,1,1684.87332,1,2,1
2009,ES,111,ES61,2,474,1,1491.66954,1,2,1
2009,ES,113,ES62,2,1175,1,469.33527,1,2,1
2009,ES,114,ES61,2,1638,1,1480.27539,1,1,1
2009,ES,117,ES41,2,121,1,3165.06371,1,3,1
2009,ES,125,ES11,2,586,1,763.16754,1,1,1
2009,ES,131,ES61,2,494,1,3214.15819,1,2,1
2009,ES,132,ES30,2,933,1,920.92038,1,1,1
2009,ES,133,ES21,2,1886,1,1511.39011,1,3,1
2009,ES,134,ES41,2,119,1,588.95484,1,3,1
2009,ES,136,ES42,2,677,1,688.09776,1,2,1
2009,ES,138,ES70,2,1521,1,1280.36689,1,2,1
2009,ES,148,ES51,2,293,1,1818.82173,1,1,1
2009,ES,152,ES51,2,324,1,2225.30676,1,1,1
2009,ES,154,ES52,2,1727,1,1273.06857,1,1,1
2009,ES,156,ES12,2,1345,1,978.28348,1,3,1
2009,ES,162,ES61,2,490,1,1576.70789,1,2,1
2009,ES,164,ES61,2,103,1,2103.35589,1,3,1
2009,ES,166,ES43,2,456,1,1104.18482,1,3,1
2009,ES,168,ES61,2,1603,1,1646.28140,1,3,1
2009,ES,174,ES41,2,776,1,1462.67067,1,1,1
2009,ES,176,ES51,2,1649,1,1580.54394,1,2,1
2009,ES,177,ES24,2,1957,1,5018.41454,1,1,1
2009,ES,180,ES52,2,1711,1,692.44693,1,1,1
2009,ES,181,ES52,2,511,1,4680.93688,1,1,1
2009,ES,183,ES41,2,423,1,519.99413,1,1,1
2009,ES,186,ES42,2,17,1,1095.30484,1,2,1
