RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2018,ES,101,432.17425,1,4,1,1949,1,1,1,1,1,3,1, ,-2, ,-2,102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2018,ES,102,432.17425,1,2,1,1951,1,2,1,1,1,4,1, ,-2, ,-2,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2018,ES,301,995.42369,1,11,1,1965,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,302,995.42369,1,5,1,1993,1,2,1,2,1,1,1, ,-2,301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,303,995.42369,1,6,1,1996,1,2,1,2,1,4,1, ,-2,301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,401,1073.72613,1,12,1,1958,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,402,1073.72613,1,7,1,1991,1,2,1,2,1,1,1, ,-2,401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,403,1073.72613,1,3,1,1997,1,1,1,2,1,4,1, ,-2,401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,501,371.41200,1,3,1,1938,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2018,ES,601,684.69827,1,10,1,1941,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2018,ES,602,684.69827,1,6,1,1971,1,2,1,1,1,1,1, ,-2,601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,801,1098.99049,1,3,1,1969,1,1,1,1,1,4,1, ,-2, ,-2,802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,802,1098.99049,1,2,1,1967,1,2,1,2,1,1,1, ,-2, ,-2,801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,803,1098.99049,1,9,1,2005,1,2,1,2,1,4,1,801,1,802,1, ,-2, ,-2,35,1,0,1,0,1,0,1,0,1, ,-2,0,0
2018,ES,901,518.43784,1,2,1,1947,1,1,1,1,1,3,1, ,-2, ,-2,902,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2018,ES,902,518.43784,1,11,1,1945,1,2,1,1,1,4,1, ,-2, ,-2,901,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2018,ES,1101,793.09576,1,2,1,1983,1,1,1,1,1,1,1, ,-2, ,-2,1102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,1102,793.09576,1,9,1,1989,1,2,1,1,1,1,1, ,-2, ,-2,1101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,1201,1237.88295,1,3,1,1982,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2018,ES,1301,420.05391,1,2,1,1971,1,1,1,1,1,1,1, ,-2, ,-2,1302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,1302,420.05391,1,5,1,1973,1,2,1,2,1,1,1, ,-2, ,-2,1301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,1303,420.05391,1,1,1,2008,1,1,1,2,1,4,1,1301,1,1302,1, ,-2, ,-2,38,1,0,1,0,1,0,1,0,1,387.21907,1,0,0
2018,ES,1304,420.05391,1,2,1,2012,1,2,1,2,1,4,1,1301,1,1302,1, ,-2, ,-2,38,1,0,1,0,1,0,1,0,1,390.64525,1,0,0
2018,ES,1501,599.12588,1,1,1,1976,1,1,1,1,1,1,1, ,-2, ,-2,1502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,1502,599.12588,1,9,1,1971,1,2,1,2,1,1,1, ,-2, ,-2,1501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,1601,713.48875,1,7,1,1980,1,1,1,1,1,1,1, ,-2, ,-2,1602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,1602,713.48875,1,2,1,1981,1,2,1,2,1,1,1, ,-2, ,-2,1601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2018,ES,1603,713.48875,1,4,1,2015,1,2,1,1,1,4,1,1601,1,1602,1, ,-2,35,1, ,-2,0,1,0,1,0,1,0,1,726.21917,1,0,0
2018,ES,1701,407.99915,1,8,1,1979,1,1,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
