DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2014,ES,2,ES21,1,6,2,2537.64059,1,1,1
2014,ES,3,ES21,1,6,2,994.07306,1,1,1
2014,ES,4,ES21,1,6,2,1267.63723,1,1,1
2014,ES,5,ES21,1,6,2,1272.33141,1,1,1
2014,ES,6,ES21,1,6,2,2014.04761,1,1,1
2014,ES,7,ES21,1,9,2,1636.31230,1,1,1
2014,ES,8,ES21,1,9,2,916.48235,1,1,1
2014,ES,9,ES21,1,9,2,1398.96475,1,1,1
2014,ES,10,ES21,1,9,2,2211.76457,1,1,1
2014,ES,11,ES21,1,13,2,443.09302,1,1,1
2014,ES,12,ES21,1,13,2,2684.87307,1,1,1
2014,ES,13,ES21,1,13,2,702.27806,1,1,1
2014,ES,14,ES21,1,13,2,347.20824,1,1,1
2014,ES,15,ES21,1,13,2,90.58163,1,1,1
2014,ES,16,ES21,1,13,2,982.12703,1,1,1
2014,ES,17,ES21,1,13,2,1467.37156,1,1,1
2014,ES,18,ES42,1,25,2,1536.57565,1,1,1
2014,ES,20,ES42,1,25,2,818.88524,1,1,1
2014,ES,21,ES42,1,25,2,1696.07391,1,1,1
2014,ES,22,ES42,1,25,2,2225.51546,1,1,1
2014,ES,24,ES42,1,33,2,1460.35380,1,3,1
2014,ES,26,ES42,1,33,2,1448.46213,1,3,1
2014,ES,27,ES42,1,33,2,1128.13498,1,3,1
2014,ES,28,ES42,1,33,2,963.55980,1,3,1
2014,ES,29,ES42,1,33,2,1128.13498,1,3,1
2014,ES,31,ES42,1,36,2,1157.19604,1,3,1
2014,ES,32,ES42,1,36,2,1685.78582,1,3,1
2014,ES,33,ES42,1,36,2,4440.74974,1,1,1
2014,ES,34,ES42,1,36,2,1145.14362,1,3,1
2014,ES,35,ES42,1,36,2,3694.80395,1,3,1
2014,ES,36,ES42,1,36,2,1500.57469,1,3,1
2014,ES,37,ES42,1,36,2,497.57732,1,3,1
2014,ES,39,ES42,1,37,2,1550.88981,1,3,1
2014,ES,40,ES42,1,37,2,905.52123,1,3,1
2014,ES,41,ES42,1,37,2,1440.82629,1,3,1
2014,ES,43,ES52,1,41,2,6364.03431,1,2,1
2014,ES,44,ES52,1,41,2,5299.34669,1,2,1
2014,ES,46,ES52,1,45,2,10819.61952,1,1,1
2014,ES,47,ES52,1,45,2,3245.26574,1,1,1
2014,ES,48,ES52,1,45,2,3797.33692,1,1,1
2014,ES,49,ES52,1,45,2,1609.06058,1,1,1
2014,ES,50,ES52,1,45,2,2508.68564,1,1,1
2014,ES,51,ES52,1,45,2,2079.19306,1,2,1
2014,ES,52,ES52,1,45,2,1654.25746,1,1,1
2014,ES,53,ES52,1,51,2,1959.67265,1,1,1
2014,ES,54,ES52,1,51,2,1314.14131,1,1,1
2014,ES,55,ES52,1,51,2,2338.77901,1,1,1
2014,ES,56,ES52,1,51,2,2839.79891,1,1,1
2014,ES,57,ES52,1,51,2,2401.22068,1,1,1
2014,ES,58,ES52,1,51,2,2287.69546,1,1,1
2014,ES,59,ES52,1,53,2,2045.17873,1,1,1
2014,ES,62,ES52,1,55,2,883.35740,1,3,1
2014,ES,64,ES52,1,55,2,1152.76513,1,3,1
2014,ES,65,ES52,1,55,2,1535.85246,1,3,1
2014,ES,66,ES52,1,57,2,2067.09868,1,1,1
2014,ES,67,ES52,1,57,2,1671.03565,1,1,1
2014,ES,69,ES52,1,57,2,2822.27804,1,1,1
2014,ES,71,ES52,1,57,2,2048.31223,1,1,1
2014,ES,72,ES52,1,59,2,3235.11570,1,3,1
2014,ES,74,ES52,1,59,2,1960.52679,1,3,1
2014,ES,75,ES52,1,59,2,1823.26591,1,3,1
2014,ES,76,ES52,1,59,2,507.85082,1,3,1
2014,ES,78,ES52,1,61,2,1652.81215,1,2,1
2014,ES,79,ES52,1,61,2,1680.52766,1,2,1
2014,ES,80,ES52,1,61,2,1697.90896,1,2,1
2014,ES,81,ES52,1,61,2,516.68545,1,2,1
2014,ES,82,ES52,1,61,2,1912.59852,1,2,1
2014,ES,85,ES52,1,62,2,881.06606,1,3,1
2014,ES,86,ES52,1,62,2,1197.48401,1,3,1
2014,ES,87,ES52,1,62,2,993.76633,1,3,1
2014,ES,88,ES52,1,62,2,1263.84955,1,3,1
2014,ES,89,ES52,1,62,2,1288.18611,1,3,1
2014,ES,90,ES52,1,62,2,1447.41338,1,3,1
2014,ES,91,ES52,1,62,2,1494.37590,1,3,1
2014,ES,93,ES52,1,62,2,5223.87704,1,3,1
2014,ES,95,ES52,1,63,2,811.28589,1,2,1
2014,ES,96,ES52,1,63,2,3149.01714,1,2,1
2014,ES,97,ES52,1,63,2,4812.60446,1,2,1
2014,ES,99,ES52,1,69,2,3249.48886,1,1,1
2014,ES,100,ES52,1,69,2,3429.06251,1,1,1
2014,ES,102,ES52,1,69,2,5410.83322,1,1,1
2014,ES,103,ES52,1,73,2,5046.44335,1,1,1
2014,ES,105,ES52,1,75,2,2013.97326,1,2,1
2014,ES,106,ES52,1,75,2,1311.01441,1,2,1
2014,ES,107,ES52,1,75,2,1647.08961,1,2,1
2014,ES,108,ES52,1,75,2,2761.31763,1,2,1
2014,ES,109,ES52,1,75,2,2494.80517,1,2,1
2014,ES,110,ES52,1,75,2,1457.69568,1,2,1
2014,ES,111,ES52,1,75,2,1585.64129,1,2,1
2014,ES,112,ES52,1,78,2,1168.57102,1,3,1
2014,ES,113,ES52,1,78,2,501.80956,1,3,1
2014,ES,114,ES52,1,78,2,1024.03086,1,3,1
2014,ES,115,ES52,1,78,2,4324.37492,1,3,1
2014,ES,116,ES52,1,78,2,7307.41852,1,3,1
2014,ES,117,ES52,1,81,2,2669.94775,1,3,1
2014,ES,118,ES52,1,81,2,3110.62480,1,3,1
2014,ES,119,ES52,1,81,2,1514.74169,1,3,1
2014,ES,120,ES52,1,81,2,4223.79611,1,3,1
2014,ES,121,ES52,1,81,2,1621.22714,1,3,1
2014,ES,122,ES52,1,89,2,1626.25289,1,2,1
2014,ES,123,ES52,1,89,2,1748.18460,1,2,1
2014,ES,124,ES52,1,89,2,3473.45342,1,2,1
2014,ES,125,ES52,1,89,2,2649.11127,1,2,1
2014,ES,126,ES52,1,89,2,3371.39834,1,2,1
2014,ES,127,ES52,1,89,2,4588.80299,1,2,1
2014,ES,128,ES52,1,89,2,1544.22690,1,2,1
2014,ES,129,ES52,1,89,2,2501.49828,1,2,1
2014,ES,130,ES61,1,107,2,3442.29664,1,2,1
2014,ES,131,ES61,1,107,2,3442.29664,1,1,1
2014,ES,132,ES61,1,107,2,3120.26999,1,2,1
2014,ES,133,ES61,1,107,2,2395.69716,1,2,1
2014,ES,134,ES61,1,107,2,2041.89692,1,2,1
2014,ES,135,ES61,1,107,2,2064.08683,1,2,1
2014,ES,136,ES61,1,107,2,257.53067,1,2,1
2014,ES,137,ES61,1,107,2,2580.24876,1,2,1
2014,ES,138,ES41,1,114,2,1430.55972,1,2,1
2014,ES,139,ES41,1,114,2,720.91627,1,2,1
2014,ES,140,ES41,1,114,2,1052.52708,1,2,1
2014,ES,141,ES41,1,114,2,519.74446,1,2,1
2014,ES,142,ES41,1,114,2,1027.32763,1,2,1
2014,ES,143,ES41,1,114,2,1184.16722,1,2,1
2014,ES,144,ES41,1,117,2,771.43013,1,3,1
2014,ES,145,ES41,1,117,2,1336.18847,1,3,1
2014,ES,146,ES41,1,117,2,881.33673,1,3,1
2014,ES,147,ES41,1,117,2,1094.34683,1,3,1
2014,ES,148,ES41,1,117,2,1519.49963,1,3,1
2014,ES,149,ES41,1,117,2,3801.66596,1,3,1
2014,ES,150,ES41,1,117,2,1856.77436,1,3,1
2014,ES,152,ES43,1,130,2,1064.83070,1,1,1
2014,ES,153,ES43,1,130,2,418.26757,1,1,1
2014,ES,154,ES43,1,130,2,269.24754,1,1,1
2014,ES,155,ES43,1,131,2,746.32783,1,1,1
2014,ES,156,ES43,1,131,2,1221.13977,1,1,1
2014,ES,157,ES43,1,131,2,1920.70672,1,1,1
2014,ES,158,ES43,1,131,2,5407.13782,1,1,1
2014,ES,159,ES43,1,131,2,1578.98795,1,1,1
2014,ES,161,ES43,1,132,2,2240.49214,1,1,1
2014,ES,162,ES43,1,132,2,714.10849,1,1,1
2014,ES,163,ES43,1,132,2,888.96525,1,1,1
2014,ES,164,ES43,1,132,2,636.48608,1,1,1
2014,ES,165,ES43,1,132,2,980.82845,1,1,1
2014,ES,166,ES43,1,134,2,1451.24941,1,1,1
2014,ES,167,ES43,1,134,2,1046.17444,1,1,1
2014,ES,168,ES43,1,134,2,1065.01322,1,1,1
2014,ES,170,ES52,1,134,2,2379.87769,1,2,1
2014,ES,171,ES43,1,134,2,645.62151,1,1,1
2014,ES,172,ES43,1,139,2,528.96310,1,3,1
2014,ES,173,ES43,1,139,2,260.81722,1,3,1
2014,ES,174,ES43,1,139,2,1380.29901,1,3,1
2014,ES,175,ES43,1,139,2,789.80713,1,3,1
2014,ES,177,ES43,1,139,2,228.33695,1,3,1
2014,ES,178,ES43,1,139,2,1240.20405,1,3,1
2014,ES,179,ES43,1,139,2,859.50690,1,3,1
2014,ES,180,ES43,1,141,2,712.59926,1,3,1
2014,ES,181,ES43,1,141,2,577.83243,1,3,1
2014,ES,182,ES43,1,141,2,476.61607,1,3,1
2014,ES,183,ES43,1,141,2,2190.99008,1,3,1
2014,ES,184,ES43,1,141,2,438.86908,1,3,1
2014,ES,185,ES43,1,141,2,572.76214,1,3,1
2014,ES,186,ES43,1,141,2,929.20008,1,3,1
2014,ES,187,ES43,1,143,2,2407.51967,1,3,1
2014,ES,188,ES43,1,143,2,2062.02338,1,3,1
2014,ES,190,ES43,1,143,2,1412.14911,1,3,1
2014,ES,193,ES43,1,143,2,784.13407,1,3,1
2014,ES,194,ES43,1,145,2,2120.53281,1,3,1
2014,ES,195,ES43,1,145,2,1768.66169,1,3,1
2014,ES,196,ES43,1,145,2,1451.90350,1,3,1
2014,ES,197,ES43,1,145,2,1153.55892,1,3,1
2014,ES,199,ES43,1,145,2,740.87135,1,3,1
2014,ES,200,ES43,1,145,2,1165.75976,1,3,1
2014,ES,201,ES43,1,145,2,1805.43949,1,3,1
2014,ES,202,ES43,1,145,2,775.17356,1,3,1
2014,ES,203,ES43,1,150,2,936.47771,1,3,1
2014,ES,204,ES43,1,150,2,1104.49574,1,3,1
2014,ES,205,ES43,1,150,2,812.34881,1,3,1
2014,ES,206,ES43,1,150,2,665.73685,1,3,1
2014,ES,207,ES43,1,150,2,522.70245,1,3,1
2014,ES,208,ES43,1,153,2,1130.71142,1,3,1
2014,ES,209,ES43,1,153,2,3511.45603,1,3,1
2014,ES,210,ES43,1,153,2,1634.82083,1,3,1
2014,ES,211,ES43,1,153,2,237.05533,1,3,1
2014,ES,213,ES43,1,153,2,944.68488,1,3,1
2014,ES,214,ES43,1,153,2,1319.22022,1,3,1
2014,ES,215,ES43,1,153,2,1296.81537,1,3,1
2014,ES,216,ES43,1,153,2,456.48856,1,3,1
2014,ES,217,ES43,1,155,2,279.64526,1,2,1
2014,ES,218,ES43,1,155,2,260.67234,1,2,1
2014,ES,219,ES43,1,155,2,1101.21645,1,2,1
2014,ES,220,ES43,1,155,2,570.39703,1,2,1
2014,ES,223,ES43,1,156,2,2164.51218,1,3,1
2014,ES,224,ES43,1,156,2,369.09660,1,3,1
2014,ES,225,ES43,1,156,2,419.08012,1,3,1
2014,ES,226,ES43,1,156,2,339.78045,1,3,1
2014,ES,229,ES43,1,158,2,305.73534,1,2,1
2014,ES,230,ES43,1,158,2,635.72220,1,2,1
2014,ES,231,ES43,1,158,2,870.08381,1,2,1
